<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.19	01:00:00	3640.114	3651.217	3632.203	3639.922	14134	0	160
2025.09.19	02:00:00	3639.859	3650.276	3638.827	3647.397	10334	0	160
2025.09.19	03:00:00	3647.288	3656.439	3645.286	3653.722	9367	0	160
2025.09.19	04:00:00	3653.660	3659.995	3653.660	3658.875	6605	0	160
2025.09.19	05:00:00	3658.866	3661.294	3651.439	3652.504	8149	0	160
2025.09.19	06:00:00	3652.495	3654.256	3643.269	3646.946	11727	0	160
2025.09.19	07:00:00	3647.003	3657.576	3644.462	3653.945	9009	0	160
2025.09.19	08:00:00	3653.874	3656.570	3649.553	3655.655	7642	0	160
2025.09.19	09:00:00	3655.614	3658.827	3655.200	3658.504	5874	0	160
2025.09.19	10:00:00	3658.558	3659.228	3655.042	3655.841	5094	0	160
2025.09.19	11:00:00	3655.799	3655.911	3645.676	3648.392	8318	0	160
2025.09.19	12:00:00	3648.421	3651.900	3644.590	3649.286	10354	0	160
2025.09.19	13:00:00	3649.242	3664.365	3643.763	3663.291	16556	0	160
2025.09.19	14:00:00	3663.279	3669.296	3656.376	3666.994	15548	0	160
2025.09.19	15:00:00	3667.030	3676.032	3665.274	3670.811	12867	0	160
2025.09.19	16:00:00	3670.710	3673.260	3666.602	3668.310	7812	0	160
2025.09.19	17:00:00	3668.273	3679.481	3668.090	3678.604	7374	0	160
2025.09.19	18:00:00	3678.595	3684.127	3678.192	3683.612	6325	0	160
2025.09.19	19:00:00	3683.653	3685.203	3681.302	3684.444	5662	0	160
2025.09.19	20:00:00	3684.353	3685.053	3680.846	3684.861	4004	0	160
2025.09.21	22:00:00	3687.969	3692.290	3683.776	3688.350	6382	0	160
2025.09.21	23:00:00	3688.353	3690.595	3685.725	3686.253	5600	0	160
2025.09.22	00:00:00	3686.263	3691.008	3685.678	3690.774	7327	0	160
2025.09.22	01:00:00	3690.737	3696.970	3686.689	3689.369	15951	0	160
2025.09.22	02:00:00	3689.348	3693.326	3685.466	3686.374	8855	0	160
2025.09.22	03:00:00	3686.332	3697.484	3685.885	3695.448	7420	0	160
2025.09.22	04:00:00	3695.419	3695.949	3690.108	3692.208	5217	0	160
2025.09.22	05:00:00	3692.202	3700.356	3691.765	3697.020	7025	0	160
2025.09.22	06:00:00	3697.054	3719.857	3695.467	3714.436	13668	0	160
2025.09.22	07:00:00	3714.360	3716.291	3708.584	3713.226	12120	0	160
2025.09.22	08:00:00	3713.193	3722.578	3712.314	3720.403	9002	0	160
2025.09.22	09:00:00	3720.448	3726.703	3719.268	3723.184	8192	0	160
2025.09.22	10:00:00	3723.265	3728.318	3721.093	3727.456	7854	0	160
2025.09.22	11:00:00	3727.418	3728.278	3721.211	3724.606	8698	0	160
2025.09.22	12:00:00	3724.643	3725.558	3712.030	3721.574	14397	0	160
2025.09.22	13:00:00	3721.620	3725.582	3713.732	3722.392	24169	0	160
2025.09.22	14:00:00	3722.317	3726.373	3716.771	3725.790	17375	0	160
2025.09.22	15:00:00	3725.830	3736.395	3723.511	3736.150	11045	0	160
2025.09.22	16:00:00	3736.109	3739.644	3735.201	3737.058	8446	0	160
2025.09.22	17:00:00	3737.104	3747.270	3737.104	3746.594	7604	0	160
2025.09.22	18:00:00	3746.560	3748.043	3744.621	3747.659	5521	0	160
